seg,iter,div_round,nid,fit_cur,fit_best_global,fit_best_segment,improved,multi_visit,best_multi_fit
1,9,1,1,144,138.1,138.1,0,1,138.626
1,10,1,1,140,138.1,138.1,0,0,138.626
1,11,1,0,144,138.1,138.1,0,1,138.626
1,12,1,1,138.626,138.1,138.1,0,1,138.626
1,13,1,2,145.1,138.1,138.1,0,1,138.626
1,14,1,0,144,138.1,138.1,0,1,138.626
1,15,1,2,144.342,138.1,138.1,0,0,138.626
1,16,1,2,148,138.1,138.1,0,1,138.626
1,17,1,2,152,138.1,138.1,0,1,138.626
2,0,1,1,140,138.1,138.1,0,0,138.626
2,1,1,2,143.111,138.1,138.1,0,1,138.626
2,2,1,0,140,138.1,138.1,0,0,138.626
2,3,1,2,145.1,138.1,138.1,0,1,138.626
2,4,1,0,140,138.1,138.1,0,0,138.626
2,5,1,2,144.342,138.1,138.1,0,0,138.626
2,6,1,0,140,138.1,138.1,0,0,138.626
2,7,1,0,140,138.1,138.1,0,0,138.626
2,8,1,0,144,138.1,138.1,0,1,138.626
2,9,1,0,144,138.1,138.1,0,1,138.626
2,10,1,2,148,138.1,138.1,0,1,138.626
2,11,1,1,138.626,138.1,138.1,0,1,138.626
2,12,1,2,152,138.1,138.1,0,1,138.626
2,13,1,2,145.1,138.1,138.1,0,1,138.626
2,14,1,2,155,138.1,138.1,0,1,138.626
2,15,1,1,140,138.1,138.1,0,0,138.626
2,16,1,1,144,138.1,138.1,0,1,138.626
2,17,1,1,144,138.1,138.1,0,1,138.626
2,18,1,2,164.111,138.1,138.1,0,1,138.626
3,0,1,0,140,138.1,138.1,0,0,138.626
3,1,1,0,140,138.1,138.1,0,0,138.626
3,2,1,0,140,138.1,138.1,0,0,138.626
3,3,1,0,140,138.1,138.1,0,0,138.626
3,4,1,0,144,138.1,138.1,0,1,138.626
3,5,1,0,144,138.1,138.1,0,1,138.626
3,6,1,0,144,138.1,138.1,0,1,138.626
3,7,1,1,140,138.1,138.1,0,0,138.626
3,8,1,0,147.111,138.1,138.1,0,0,138.626
3,9,1,2,143.111,138.1,138.1,0,1,138.626
3,10,1,0,147.111,138.1,138.1,0,0,138.626
3,11,1,1,138.626,138.1,138.1,0,1,138.626
3,12,1,0,140,138.1,138.1,0,0,138.626
3,13,1,2,145.1,138.1,138.1,0,1,138.626
3,14,1,1,140,138.1,138.1,0,0,138.626
3,15,1,1,144,138.1,138.1,0,1,138.626
3,16,1,2,144.342,138.1,138.1,0,0,138.626
3,17,1,0,140,138.1,138.1,0,0,138.626
3,18,1,1,144,138.1,138.1,0,1,138.626
-1,-1,1,-1,138.1,138.1,138.1,0,0,138.626
0,0,2,0,140,138.1,138.1,0,0,138.626
0,1,2,1,140,138.1,138.1,0,0,138.626
0,2,2,1,138.626,138.1,138.1,0,1,138.626
0,3,2,1,140,138.1,138.1,0,0,138.626
0,4,2,2,143.111,138.1,138.1,0,1,138.626
0,5,2,2,145.1,138.1,138.1,0,1,138.626
0,6,2,2,144.342,138.1,138.1,0,0,138.626
0,7,2,1,144,138.1,138.1,0,1,138.626
0,8,2,0,140,138.1,138.1,0,0,138.626
1,0,2,0,140,138.1,138.1,0,0,138.626
1,1,2,0,140,138.1,138.1,0,0,138.626
1,2,2,2,143.111,138.1,138.1,0,1,138.626
1,3,2,1,140,138.1,138.1,0,0,138.626
1,4,2,0,140,138.1,138.1,0,0,138.626
1,5,2,0,140,138.1,138.1,0,0,138.626
1,6,2,2,145.1,138.1,138.1,0,1,138.626
1,7,2,2,144.342,138.1,138.1,0,0,138.626
1,8,2,1,138.626,138.1,138.1,0,1,138.626
1,9,2,0,144,138.1,138.1,0,1,138.626
1,10,2,1,140,138.1,138.1,0,0,138.626
1,11,2,1,144,138.1,138.1,0,1,138.626
1,12,2,2,148,138.1,138.1,0,1,138.626
1,13,2,2,152,138.1,138.1,0,1,138.626
1,14,2,1,144,138.1,138.1,0,1,138.626
1,15,2,0,144,138.1,138.1,0,1,138.626
2,0,2,0,140,138.1,138.1,0,0,138.626
2,1,2,0,140,138.1,138.1,0,0,138.626
2,2,2,0,140,138.1,138.1,0,0,138.626
2,3,2,0,140,138.1,138.1,0,0,138.626
2,4,2,2,143.111,138.1,138.1,0,1,138.626
2,5,2,1,140,138.1,138.1,0,0,138.626
